# US Census Bureau, National County and Equivalent Entities file, 2020 vintage:
# https://www2.census.gov/geo/docs/reference/codes2020/national_county2020.txt (fetched 2026-09-08).
# Filtered to the three in-scope states. Columns as published; county_geoid = STATEFP || COUNTYFP.
state,state_fips,county_fips,county_geoid,county_name,class_fp
TX,48,123,48123,"DeWitt County",H1
TX,48,125,48125,"Dickens County",H1
TX,48,127,48127,"Dimmit County",H1
TX,48,129,48129,"Donley County",H1
TX,48,131,48131,"Duval County",H1
TX,48,133,48133,"Eastland County",H1
TX,48,135,48135,"Ector County",H1
TX,48,137,48137,"Edwards County",H1
TX,48,139,48139,"Ellis County",H1
TX,48,141,48141,"El Paso County",H1
TX,48,143,48143,"Erath County",H1
TX,48,145,48145,"Falls County",H1
TX,48,147,48147,"Fannin County",H1
TX,48,149,48149,"Fayette County",H1
TX,48,151,48151,"Fisher County",H1
TX,48,153,48153,"Floyd County",H1
TX,48,155,48155,"Foard County",H1
TX,48,157,48157,"Fort Bend County",H1
TX,48,159,48159,"Franklin County",H1
TX,48,161,48161,"Freestone County",H1
TX,48,163,48163,"Frio County",H1
TX,48,165,48165,"Gaines County",H1
TX,48,167,48167,"Galveston County",H1
TX,48,169,48169,"Garza County",H1
TX,48,171,48171,"Gillespie County",H1
TX,48,173,48173,"Glasscock County",H1
TX,48,175,48175,"Goliad County",H1
TX,48,177,48177,"Gonzales County",H1
TX,48,179,48179,"Gray County",H1
TX,48,181,48181,"Grayson County",H1
TX,48,183,48183,"Gregg County",H1
TX,48,185,48185,"Grimes County",H1
TX,48,187,48187,"Guadalupe County",H1
TX,48,189,48189,"Hale County",H1
TX,48,191,48191,"Hall County",H1
TX,48,193,48193,"Hamilton County",H1
TX,48,195,48195,"Hansford County",H1
TX,48,197,48197,"Hardeman County",H1
TX,48,199,48199,"Hardin County",H1
TX,48,201,48201,"Harris County",H1
TX,48,203,48203,"Harrison County",H1
TX,48,205,48205,"Hartley County",H1
TX,48,207,48207,"Haskell County",H1
TX,48,209,48209,"Hays County",H1
TX,48,211,48211,"Hemphill County",H1
TX,48,213,48213,"Henderson County",H1
TX,48,215,48215,"Hidalgo County",H1
TX,48,217,48217,"Hill County",H1
TX,48,219,48219,"Hockley County",H1
TX,48,221,48221,"Hood County",H1
TX,48,223,48223,"Hopkins County",H1
TX,48,225,48225,"Houston County",H1
TX,48,227,48227,"Howard County",H1
TX,48,229,48229,"Hudspeth County",H1
TX,48,231,48231,"Hunt County",H1
TX,48,233,48233,"Hutchinson County",H1
TX,48,235,48235,"Irion County",H1
TX,48,237,48237,"Jack County",H1
TX,48,239,48239,"Jackson County",H1
